iter	PRAUC	Logloss
0	0.8495773332	0.687325527711	0.9349365905	0.6813205192	2	0.9486582525	0.6755070113	3	0.9482547632	0.6695961524
4	0.9534171621	0.663411591755	0.9542135798	0.658293877466	0.9687135987	0.6512666128
7	0.9727016108	0.6459624122
8	0.9747828756	0.6397414689
9	0.9744922558	0.6341008355
10	0.9775243109	0.6287504068
11	0.9785259951	0.6231777046
12	0.9775745862	0.6182553924
13	0.976499587	0.6126528058
14	0.9800097623	0.6067031803
15	0.9823078109	0.5996137271
16	0.981623296	0.5948789053
17	0.9837896523	0.5888068555
18	0.9859035445	0.5832124142
19	0.9864841826	0.5781344501
20	0.9860297619	0.573053962
21	0.9857923497	0.5682911513
22	0.9851331024	0.5638599841
23	0.9870080105	0.5589464253
24	0.9870153736	0.55395584
25	0.9867542565	0.549710039
26	0.987349438	0.5450881039
27	0.9879031956	0.5413151342
28	0.9880356883	0.5373276749
29	0.988507886	0.5330849357
30	0.9887621761	0.5276484593
31	0.9885690803	0.5228898478
32	0.9889750781	0.5187597948
33	0.989098417	0.5153960278
34	0.9892446513	0.5117127772
35	0.9891930783	0.5088436121
36	0.9894455282	0.5050731648
37	0.9895639304	0.5008037499
38	0.9893642562	0.4974913167
39	0.9888969924	0.4945681595
40	0.9893531861	0.4905507776
41	41	0.9865029235	0.4813868442	42	0.9866542147	0.4776193243	43	0.9880026361	0.473647084444	0.9884756913	0.4703678664545	0.9886366419	0.4668884214646	0.9885517674	0.4631184169
47	0.9888628225	0.4595692121
48	0.98924162	0.4563348414
49	0.9891826141	0.4527282184
50	0.989445748	0.4493785452
51	0.9900337186	0.4459882696
52	0.9903834059	0.4428281196
53	0.9910887434	0.4393971647
54	0.54	0.9945354639	0.43503555	0.55	0.9946643983	0.43159256	0.56	0.9947350672	0.4290657	0.957	0.9948652269	0.4264058	0.958	0.9949489221	0.4238759	0.959	0.9949051774	0.4212161007
60	0.9948956661	0.4186475689
61	0.9949176448	0.4160233946
62	0.9950917273	0.4129870547
63	0.9951206597	0.4106165638
64	0.9952894657	0.4084972425
65	0.9955098689	0.4058082723
66	0.9955336335	0.4030049497
67	0.9955641841	0.400652012
68	0.9959095457	0.397842746
69	0.9960776763	0.3947356804
70	0.9961923388	0.3919726764
71	0.9961602556	0.3895597702
72	0.9962279996	0.3871492453
