iter	Passed	Remaining
0	20	20353
1	40	20122
2	60	20180
3	80	20158
4	108	21559
5	129	21425
6	146	20845
7	167	20724
8	188	20744
9	207	20583
10	230	20701
11	254	20984
12	274	20854
13	297	20974
14	316	20810
15	336	20709
16	355	20542
17	377	20572
18	400	20672
19	421	20629
20	445	20788
21	475	21119
22	498	21171
23	517	21036
24	538	20986
25	558	20933
26	580	20915
27	601	20888
28	624	20910
29	651	21075
30	672	21033
31	697	21086
32	721	21137
33	741	21069
34	765	21116
35	778	20853
36	799	20811
37	822	20824
38	842	20760
39	862	20708
40	885	20723
41	906	20680
42	930	20707
43	951	20669
44	975	20705
45	1000	20749
46	1024	20766
47	1044	20719
48	1067	20710
49	1093	20775
50	1113	20727
51	1134	20681
52	1158	20703
53	1178	20646
54	1203	20680
55	1224	20645
56	1243	20576
57	1266	20571
58	1284	20494
59	1306	20463
60	1326	20418
61	1347	20386
62	1371	20394
63	1393	20380
64	1414	20342
65	1438	20351
66	1459	20329
67	1490	20425
68	1510	20383
69	1534	20380
70	1552	20319
71	1573	20286
72	1598	20296
73	1620	20276
74	1639	20217
75	1659	20177
76	1683	20181
77	1709	20204
78	1735	20230
79	1758	20227
80	1783	20239
81	1807	20231
82	1829	20209
83	1850	20176
84	1868	20119
85	1887	20065
86	1908	20028
87	1930	20008
88	1954	20010
89	1976	19980
90	1995	19934
91	2013	19874
92	2033	19832
93	2053	19792
94	2076	19776
95	2095	19732
96	2116	19703
97	2141	19709
98	2165	19711
99	2192	19736
100	2216	19733
101	2242	19739
102	2267	19744
103	2290	19732
104	2310	19694
105	2332	19669
106	2354	19653
107	2377	19633
108	2395	19581
109	2418	19568
110	2440	19546
111	2463	19530
112	2485	19506
113	2506	19481
114	2529	19465
115	2551	19440
116	2572	19415
117	2593	19383
118	2615	19362
119	2638	19352
120	2658	19314
121	2681	19299
122	2702	19271
123	2727	19267
124	2753	19273
125	2775	19252
126	2795	19218
127	2818	19197
128	2839	19169
129	2859	19139
130	2882	19119
131	2904	19097
132	2925	19071
133	2950	19070
134	2972	19048
135	2997	19046
136	3018	19016
137	3040	18994
138	3066	18993
139	3089	18975
140	3112	18960
141	3132	18929
142	3152	18890
143	3174	18872
144	3196	18847
145	3215	18805
146	3241	18807
147	3267	18809
148	3287	18777
149	3312	18769
150	3333	18743
151	3361	18751
152	3384	18738
153	3404	18702
154	3424	18670
155	3446	18648
156	3467	18620
157	3494	18621
158	3519	18614
159	3545	18616
160	3567	18591
161	3587	18558
162	3609	18533
163	3629	18499
164	3653	18486
165	3675	18463
166	3692	18419
167	3711	18382
168	3734	18361
169	3758	18350
170	3781	18330
171	3799	18288
172	3822	18272
173	3844	18249
174	3868	18238
175	3890	18215
176	3911	18189
177	3936	18177
178	3955	18140
179	3976	18116
180	3998	18094
181	4018	18062
182	4041	18041
183	4070	18052
184	4088	18012
185	4107	17975
186	4128	17950
187	4151	17929
188	4170	17897
189	4193	17879
190	4218	17866
191	4241	17850
192	4271	17859
193	4298	17860
194	4317	17824
195	4338	17795
196	4359	17771
197	4382	17751
198	4402	17719
199	4423	17694
200	4445	17670
201	4469	17657
202	4492	17638
203	4513	17613
204	4535	17588
205	4558	17570
206	4579	17541
207	4596	17501
208	4616	17471
209	4637	17445
210	4657	17415
211	4677	17386
212	4697	17356
213	4719	17333
214	4737	17297
215	4759	17276
216	4778	17243
217	4797	17207
218	4816	17175
219	4839	17159
220	4861	17135
221	4880	17104
222	4900	17073
223	4924	17060
224	4944	17030
225	4963	16999
226	4983	16971
227	5006	16951
228	5028	16929
229	5047	16897
